TimeStamp(Micosecond),Ax (g),Ay(g),Az (g),Wx (dps), Wy(dps), Wz (dps)
26725579,-1.03,1.42,-0.88,-9.05,-57.23,-293.09
26726579,-0.05,1.32,-1.12,-11.50,-52.47,-303.16
26727579,-0.05,0.83,-1.47,-8.02,-55.89,-305.30
26728579,-0.83,1.03,-1.12,-8.87,-53.21,-305.97
26729579,-0.15,1.03,-0.93,-6.06,-59.37,-304.01
26730579,-0.49,1.17,-1.32,-10.70,-54.73,-311.34
26731579,-0.24,0.88,-0.49,-7.04,-55.71,-309.93
26732579,-0.49,0.64,-1.07,-7.96,-57.11,-312.99
26733579,-0.05,0.98,-0.98,-9.18,-55.16,-316.10
26734579,-0.93,1.12,-1.32,-7.22,-58.39,-318.85
26735579,-0.78,0.68,-1.07,-6.98,-56.07,-325.93
26736579,-0.54,0.83,-0.64,-8.51,-59.31,-324.95
26737579,-0.49,0.49,-1.47,-13.02,-59.06,-328.55
26738579,-0.73,0.59,-1.51,-10.89,-57.78,-329.16
26739579,-0.44,0.49,-0.68,-12.72,-56.93,-333.25
26740579,-0.20,0.05,-1.27,-8.44,-58.45,-332.46
26741579,-0.93,0.39,-0.73,-11.07,-56.93,-334.17
26742579,-0.64,0.68,-1.51,-8.08,-59.61,-333.19
