TimeStamp(Micosecond),Ax (g),Ay(g),Az (g),Wx (dps), Wy(dps), Wz (dps)
26654451,1.27,5.42,-0.83,-36.7,-441.66,19.79
26655445,0.93,5.76,-0.49,-22.48,-427.44,25.16
26656445,0.93,4.74,-0.64,-27.3,-407.11,19.54
26657445,0.93,6.11,-0.88,-21.45,-391.67,21.43
26658445,0.59,5.32,-1.22,-21.81,-366.4,20.21
26659445,0.29,4.69,-1.66,-15.59,-354.26,22.65
26660445,0.59,4.74,-1.56,-18.09,-346.26,19.18
26661445,0.64,4.93,-1.56,-16.38,-336.07,17.53
26662445,0.73,4.69,-1.12,-11.5,-322.09,14.9
26663445,0.88,4.69,-1.71,-8.93,-312.51,13.13
26664444,0.93,4.64,-1.86,1.14,-294.62,12.46
26665445,1.03,4.3,-2,1.44,-285.9,14.6
26666445,0.54,4.84,-2,3.4,-282.42,14.9
26667445,0.54,4.25,-0.78,8.71,-273.32,8.07
26668445,0.88,4.49,-0.59,13.53,-257.52,11.48
26669444,0.73,5.47,-0.39,14.2,-240.61,10.69
26670445,0.44,4.79,0.15,15.05,-231.03,11.79
26671445,0.15,5.23,-0.24,17.25,-224.43,8.86
26672444,-0.2,4.93,-0.59,15.24,-208.02,10.45
26673445,-0.34,5.03,0.29,16.46,-198.92,11.79
26674444,-0.34,5.08,-0.2,9.26,-186.29,9.78
26675445,-0.34,5.42,0.1,12.43,-178.23,9.9
26676445,-0.2,5.13,0.2,8.71,-164.56,7.94
26677444,-0.34,5.42,-0.59,6.69,-154.49,14.23
26678445,-0.44,4.89,-0.29,4.8,-139.6,11.12
26679444,0.05,5.47,-0.34,7.73,-130.62,11.42
26680445,0.44,4.59,-0.59,6.88,-117.99,12.58
26681445,0.15,5.57,0,8.28,-103.89,8.62
26682445,0.49,5.13,0,7.91,-94.86,8.43
26683444,-0.29,5.67,-0.29,11.21,-79.35,6.42
26684445,0.73,5.47,0.2,13.89,-67.51,10.63
26685445,0.34,5.72,-0.2,12.12,-54.88,4.77
26686445,0,5.42,-0.05,15.91,-40.78,4.71
26687445,0.15,5.42,0.54,14.57,-29.24,4.47
26688445,0.34,4.84,-0.15,16.7,-11.06,3.06
26689445,0,4.79,0,17.56,-2.57,2.33
26690445,0.15,5.08,-0.68,16.7,11.83,-0.84
26691445,-0.39,4.45,-0.49,16.21,24.53,0.01
26692445,0.44,4.69,-0.2,15.66,37.83,-0.3
26693445,0.2,4.54,-1.22,20.18,43.51,-0.17
26694445,0.05,5.18,-0.2,16.88,55.29,-4.69
26695445,-0.05,4.69,0.1,19.57,63.04,-0.84
26696445,0.05,3.91,-0.59,23.23,79.64,-4.81
26697444,0.68,4.49,-0.1,21.1,90.32,-6.76
26698445,-0.15,4.25,-0.64,28.24,95.94,-4.75
26699445,0.15,4.45,-0.44,24.21,110.77,-9.76
26700444,-0.24,4.64,-0.2,25.67,117.36,-7.19
26701445,-0.24,4.35,-0.2,28.12,129.75,-11.22
26702445,-0.05,3.62,0.15,28.6,141.29,-11.1
26703445,-0.05,4.4,-0.44,28.42,154.84,-14.7
26704461,-0.1,4.01,0.1,28.48,160.76,-11.28
26705444,0.05,4.4,0.24,27.5,167.53,-9.15
26706445,0,3.91,-0.1,25.73,180.23,-14.94
26707445,0.15,3.32,0.15,31.11,189.32,-13.84
26708445,-0.1,3.52,-0.44,29.76,195.91,-13.97
26709444,0.05,3.86,-0.15,30.98,200.74,-13.84
26710454,-0.39,2.78,-0.73,30.68,210.26,-17.51
26711445,-0.1,2.88,-0.29,33.18,215.08,-14.27
26712444,-0.73,3.27,0.44,31.78,221.61,-17.63
26713445,-0.34,3.03,-0.1,30.43,231.93,-19.64
26714445,-0.29,3.32,-0.1,32.88,235.34,-14.88
26715444,-0.78,2.93,-0.15,28.54,247.86,-16.23
26716445,-0.15,3.08,-0.39,31.9,249.93,-18
26717445,-0.49,2.3,-0.64,26.65,252.62,-15.55
26718444,-0.78,2.98,0,25.06,255.91,-12.75
26719445,-0.88,3.03,1.22,20.12,270.8,-18.06
26720444,-0.34,2,-0.49,21.16,275.99,-16.65
26721445,-0.54,3.62,-0.78,18.84,278.19,-9.45
26722444,-0.64,2.34,-0.64,14.63,281.42,-13.54
26723445,-0.64,2.05,-0.39,15.42,283.81,-15.31
26724445,-0.29,2.3,-0.59,11.57,292.47,-10.55
26725444,0.15,2.15,-0.05,11.88,297.23,-12.69
26726445,-0.1,1.51,-0.59,10.42,300.96,-16.23
26727444,-0.1,1.47,-1.22,13.71,298.82,-11.95
26728445,-0.39,1.32,-0.98,11.82,306.69,-12.99
26729501,-0.29,1.22,-0.73,12.55,307.91,-15.19
26730445,-0.44,1.27,-0.39,15.6,311.21,-12.56
26731445,-0.2,1.12,0,14.44,316.76,-13.97
26732445,-0.54,1.12,-0.2,12.37,316.46,-13.84
26733445,-0.05,1.22,0.05,16.4,320.3,-15.86
26734444,-0.24,1.51,-0.39,15.73,322.75,-13.36
26735445,-0.24,0.93,-0.29,11.03,326.35,-15.8
26736445,-0.49,1.27,0.1,16.34,328.36,-16.29
26737445,-0.15,1.51,-0.2,14.81,332.57,-14.82
26738445,-0.44,0.68,0.29,15.79,330.07,-15.55
26739445,-0.64,0.88,-0.34,16.09,333.92,-16.29
26740445,-0.44,0.59,-0.39,14.44,337.82,-18.06
26741445,-0.54,0.83,0,17.31,335.14,-15.25
26742445,-0.24,0.59,-0.29,14.87,335.69,-17.14
