TimeStamp(Micosecond),Ax (g),Ay(g),Az (g),Wx (dps), Wy(dps), Wz (dps)
26623464,-0.15,0.34,0.39,2.54,-0.92,3.06
26624467,-0.1,0.1,-0.1,-1,2.98,-2.25
26625471,-0.15,0.29,0.68,0.65,-1.66,0.38
26626461,-0.29,-0.24,0.24,0.04,-0.8,1.9
26627465,-0.24,-0.15,0.64,0.71,0.72,0.8
26628468,-0.29,0.15,0.59,-2.16,1.09,-0.78
26629471,-0.73,0.44,1.03,-1.24,0.91,-1.27
26630461,-0.34,0.05,0.59,1.63,-2.75,1.23
26631463,0.05,-0.83,0,-8.02,-31.32,-5.73
26632465,0,-27.89,2.93,-11.37,-66.29,-52.6
26633447,-0.24,-68.49,1.47,-0.63,-154.55,-21.6
26634446,-7.87,-85.39,7.47,-124.05,-197.88,-41.13
26635445,-3.42,-40.99,12.51,144.2,-504.34,-29.29
26636445,-2.93,11.24,-0.93,-4.11,-558.24,52.01
26637444,-5.32,-16.9,5.81,-16.87,-411.26,56.41
26638490,-2.2,-0.98,-2.1,-138.14,-544.69,-80.86
26639447,1.37,-8.3,-2.54,-85.17,-519.42,-54.92
26640445,-2.59,7.28,1.37,-18.7,-538.64,-46.07
26641444,1.61,-3.91,3.13,-2.46,-487.92,44.2
26642445,-1.76,-1.42,-0.98,-18.94,-535.04,23.51
26643445,-1.07,-0.64,-2.83,-45.19,-607.74,-37.95
26644444,-1.07,-0.54,-2.2,-69.3,-631.17,-4.93
26645445,-0.68,-1.22,-2.54,-58.37,-624.89,46.15
26646445,0.24,4.84,-3.22,-49.89,-594.98,40.54
26647502,-0.15,0.73,-2.78,-57.88,-581,24.42
26648451,0.05,5.18,-2.69,-57.33,-565.68,16.73
26649445,0.34,5.13,-2.88,-60.87,-543.16,25.28
26650445,0.15,5.62,-2.2,-58.07,-539.13,25.22
26651444,0.59,7.03,-3.08,-53.37,-508.92,14.11
26652526,1.27,5.81,-2.2,-45.55,-486.34,27.84
26653457,0.24,6.84,-1.07,-44.94,-457.89,23.51
